timestamp,nv100,na100,ntotal
1667903657,17,9,26
1667903670,17,7,24
1667903683,17,7,24
1667903696,17,8,25
1667903709,16,9,25
1667903722,17,6,23
1667903734,17,7,24
1667903747,17,7,24
1667903760,17,8,25
1667903773,16,7,23
1667903786,17,8,25
1667903799,17,7,24
1667903811,17,6,23
1667903825,17,8,25
1667903837,17,9,26
1667903850,10,6,16
1667903863,17,8,25
1667903879,17,8,25
1667903892,16,7,23
1667903905,17,8,25
1667903918,17,8,25
1667903930,17,7,24
1667903943,17,7,24
1667903956,17,8,25
1667903969,17,7,24
1667903982,9,5,14
1667903995,18,9,27
1667904008,17,8,25
1667904020,17,9,26
1667904035,15,7,22
1667904048,17,7,24
1667904062,15,7,22
1667904075,16,7,23
1667904088,18,8,26
1667904101,17,8,25
1667904113,14,5,19
1667904128,17,6,23
1667904141,16,8,24
1667904153,16,7,23
1667904166,16,6,22
1667904179,16,7,23
